species,url,characters,color,habitat,abundance,image_url
Acanthastrea bowerbanki,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-bowerbanki/,"Characters:Colonies are encrusting and usually small. Corallites are cerioid, with irregular angular shapes. A central corallite is often conspicuous. Septa are compact and columellae are small. Colonies are not fleshy.","Colour:Usually pale grey, brown or rust coloured, often mottled.",Habitat:Lower reef slopes protected from wave action.,Abundance:Rare except in subtropical localities of eastern Australia.,https://www.coralsoftheworld.org/preview/0001_C01_01/
Acanthastrea brevis,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-brevis/,Characters:Colonies are mostly submassive. Corallites are cerioid to subplocoid with moderately thin walls. Septa are thin and widely spaced. Larger septa have very long upwardly projecting teeth giving colonies a spiny appearance. Colonies are usually not fleshy.,"Colour:Uniform or mottled brown, yellow or green.",Habitat:Shallow reef environments.,Abundance:Uncommon.,https://www.coralsoftheworld.org/preview/0783_C01_03/
Acanthastrea echinata,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-echinata/,"Characters:Colonies are encrusting to massive and are rarely over one metre across. Corallites are cerioid or subplocoid, circular and have thick walls. Septa have long pointed teeth. Colonies have thick fleshy tissue over the skeleton which usually forms concentric folds.","Colour:Uniform or mottled dull brown, grey or green, but sometimes brightly coloured.",Habitat:Most reef environments.,"Abundance:Usually uncommon, but by far the most commonAcanthastreaon tropical reefs.",https://www.coralsoftheworld.org/preview/0002_C01_04/
Acanthastrea faviaformis,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-faviaformis/,"Characters:Colonies are encrusting to massive, usually less than 0.2 metres across. Most consist of a small number of encrusting corallites. Corallites are plocoid. Septo-costae are prominent and have thick teeth which have ornamented edges. Columellae are deep seated. Colonies lack the fleshy tissue of mostAcanthastrea.",Colour:Mottled browns.,Habitat:Shallow reef environments.,Abundance:Uncommon.,https://www.coralsoftheworld.org/preview/0798_C01_02/
Acanthastrea hemprichii,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-hemprichii/,"Characters:Colonies are encrusting to massive and frequently over one metre across. Corallites are cerioid. Septa have exsert teeth. Colonies have fleshy tissue over the skeleton, but this is seldom thick enough to mask underlying corallites.","Colour:Mottled browns and greens, commonly with brown walls and green oral discs.",Habitat:Most reef environments.,Abundance:Uncommon.,https://www.coralsoftheworld.org/preview/0511_C04_03/
Acanthastrea hillae,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-hillae/,Characters:Colonies are cerioid and usually small but sometimes over 1.5 metres across. Corallites have irregular shapes and sometimes form short valleys with several centres. Colonies have moderately fleshy tissue over the skeleton.,"Colour:Red, cream and brown, with walls and oral discs of contrasting colours; sometimes mottled.",Habitat:Shallow reef environments.,Abundance:Common only in high latitude locations.,https://www.coralsoftheworld.org/preview/0003_C01_02/
Acanthastrea ishigakiensis,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-ishigakiensis/,"Characters:Colonies are massive, usually hemispherical and often over 0.5 metres across. Corallites are up to 25 millimetres diameter and cerioid, becoming plocoid on the colony sides. Septa are mostly uniform, with large teeth. Colonies have thick fleshy tissue over the skeleton.","Colour:Uniform blue-grey or mixtures of grey, brown, cream and green, usually with mouth, oral disc and walls of contrasting colours.","Habitat:Shallow, partly protected reef environments.",Abundance:Uncommon but conspicuous.,https://www.coralsoftheworld.org/preview/0442_C01_04/
Acanthastrea lordhowensis,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-lordhowensis/,"Characters:Colonies are massive and cerioid, with laterally compressed corallites of uneven height. Walls are acute: septa are thick, with large teeth. Columellae are deep-seated and often barely developed. Colonies have a thick fleshy mantle which is covered by fine papillae.","Colour:Very colourful: red, purple and green are the most common colours, with corallites and walls almost always of contrasting colours.",Habitat:Shallow reef environments especially of subtropical localities.,Abundance:Sometimes common.,https://www.coralsoftheworld.org/preview/0004_C01_04/
Acanthastrea regularis,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-regularis/,"Characters:Colonies are massive and subplocoid. Septa are uniformly spaced with 8-10 evenly spaced, rounded teeth. Teeth on adjacent septa are often aligned, forming concentric circles. Septa are equal of subequal. Columellae are dep-seated and often weakly developed. Colonies do not have thick tissue over the skeleton.","Colour:Variable brown and yellow-brown, usually with contrasting corallite walls and centres.",Habitat:Shallow reef environments.,Abundance:Uncommon.,https://www.coralsoftheworld.org/preview/0769_C01_01/
Acanthastrea rotundoflora,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-rotundoflora/,"Characters:Colonies are encrusting, sometimes submassive. Small colonies have a conspicuous central corallite. Corallites are plocoid, becoming widely spaced andEchinophyllia-like (Pectiniidae) at colony edges. Septa have long pointed teeth. Colonies have fleshy tissue over the skeleton.","Colour:Dark brown, rust-red or green.",Habitat:Protected reef environments.,Abundance:Usually uncommon.,https://www.coralsoftheworld.org/preview/0384_C01_05/
Acanthastrea subechinata,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthastrea-subechinata/,"Characters:Colonies are encrusting to massive and are usually small. Corallites are subplocoid and circular, with thick walls. Septa have rounded evenly spaced teeth. Colonies have thick fleshy tissue over the skeleton, but this tissue does not form concentric folds. Septal dentations appear as evenly spaced rows of bead-like tissue down the septal margins.","Colour:Uniform grey or green, sometimes mottled.",Habitat:Shallow reef environments.,Abundance:Uncommon.,https://www.coralsoftheworld.org/preview/0784_C01_01/
Acanthophyllia deshayesiana,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acanthophyllia-deshayesiana/,"Characters:Corals are solitary, usually  cones with a pointed base. Septa are of very contrasting sizes, the largest being extremely large with very large rounded dentations. Smaller septa are thin, the smallest being almost devoid of dentations. Costae are sub-equal. Columellae are large and compact. Paliform lobes are absent or nearly so. Polyps are very fleshy, with thick tissue hiding the underlying skeleton.",Colour:Concentric pale to dark greens reds and browns combined with radial striations.,Habitat:Deep soft substrates.,Abundance:Rare except in deep inter-reef areas.,https://www.coralsoftheworld.org/preview/1063_C02_03/
Acropora abrolhosensis,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acropora-abrolhosensis/,"Characters:Colonies are arborescent with straight cylindrical branches. These may form stands over 10 metres across and 2 metres high. Branches are either widely separated or compact, depending on space availability. Axial corallites are large and exsert. Radial corallites are outward facing, appressed to tubular, with circular openings. One or more tentacles per polyp are usually extended during the day.","Colour:Brown, blue or pink with pale branch tips.",Habitat:Lagoons or reef slopes protected from strong wave action.,"Abundance:Common, especially at the Houtman Abrolhos Islands of south-west Australia.",https://www.coralsoftheworld.org/preview/0059_C04_01/
Acropora abrotanoides,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acropora-abrotanoides/,"Characters:Colonies are clumps of prostrate branches with fused central branches and usually upwardly-projecting peripheral branches. Branches may be conical to elongate, with or without pointed ends. Branches may have one to several axial corallites. Radial corallites are elongate. Colonies from exposed habitats are distinctive.",Colour:Deep pinkish-brown or greenish-grey.,"Habitat:Shallow reef environments, especially reef margins exposed to strong wave action.",Abundance:Sometimes common.,https://www.coralsoftheworld.org/preview/0021_C04_01/
Acropora aculeus,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acropora-aculeus/,"Characters:Colonies are corymbose clumps. Horizontal branches are thin and spreading. Upward-projecting branchlets are fine. Axial and radial corallites are not clearly differentiated at branchlet tips. Radial corallites on branch sides are nariform, with slightly flaring lips.","Colour:Usually grey or bright blue-green or yellow. Tips of branches may be yellow, lime green, pale blue or brown.",Habitat:Upper reef slopes and lagoons.,"Abundance:Usually common in the central Indo-Pacific, uncommon elsewhere.",https://www.coralsoftheworld.org/preview/0006_C01_04/
Acropora acuminata,https://www.coralsoftheworld.org/species_factsheets/species_factsheet_summary/acropora-acuminata/,"Characters:Colonies are composed of fused horizontal branches, forming small tables. Branches usually have upturned ends which taper to a point. Corallites on horizontal branches are mostly immersed; those on upright branches are usually of two sizes, the larger being tubular, with sharp edges. Skeletons have a permanent dark colour.",Colour:Usually bright or pale blue or brown.,Habitat:Turbid or clear water on upper or lower reef slopes.,Abundance:Uncommon.,https://www.coralsoftheworld.org/preview/0007_C04_02/
